"unitid","college","type","city","state","region","admissionRate","ACTmath","ACTenglish","undergrads","cost","gradRate","FYretention","fedloan","debt"
110316,"California Institute of Integral Studies","private","San Francisco","CA","Far West",NA,NA,NA,75,NA,NA,NA,0.828,18750
120184,"Notre Dame de Namur University","private","Belmont","CA","Far West",0.872,21,19,1209,47115,0.4792,0.7692,0.672,27000
119173,"Mount St Mary's College","private","Los Angeles","CA","Far West",0.7409,NA,NA,2617,47905,0.6379,0.7923,0.9203,25000
237057,"Whitman College","private","Walla Walla","WA","Far West",0.5696,NA,NA,1525,54865,0.8775,0.9396,0.3587,15990
102669,"Alaska Pacific University","private","Anchorage","AK","Far West",0.3745,21,21,340,42925,0.3902,0.6667,0.4587,25125
122931,"Santa Clara University","private","Santa Clara","CA","Far West",0.5122,NA,NA,5404,57213,0.8401,0.9498,0.3726,20500
437316,"Linfield College-School of Nursing","private","Portland","OR","Far West",NA,NA,NA,344,NA,NA,NA,0.8338,25000
116846,"American Jewish University","private","Los Angeles","CA","Far West",0.59,NA,NA,109,46466,0.8125,0.8333,0.35,23250
115773,"Humphreys College-Stockton and Modesto Campuses","private","Stockton","CA","Far West",NA,NA,NA,757,21029,0.931,0.6923,0.922,29168
117104,"Life Pacific College","private","San Dimas","CA","Far West",0.7482,20,19,475,24492,0.5111,0.6279,0.5427,20600
209287,"Multnomah University","private","Portland","OR","Far West",0.538,NA,NA,438,33878,0.4714,0.6667,0.7117,25000
117946,"Loyola Marymount University","private","Los Angeles","CA","Far West",0.5412,26,28,6087,55432,0.7583,0.9144,0.4747,22299.5
141565,"University of Hawaii at Hilo","public","Hilo","HI","Far West",0.752,21,21,3335,15284,0.3642,0.6982,0.4574,19264
234827,"Central Washington University","public","Ellensburg","WA","Far West",0.8216,20,20,9958,21401,0.5132,0.7387,0.5472,21267
110583,"California State University-Long Beach","public","Long Beach","CA","Far West",0.3082,22,21,30440,18085,0.6033,0.8876,0.393,15775
377564,"University of Washington-Tacoma Campus","public","Tacoma","WA","Far West",0.8523,20,19,3587,22185,0.4943,0.7771,0.5181,16326
110574,"California State University-East Bay","public","Hayward","CA","Far West",0.6872,20,18,12079,20676,0.3808,0.7753,0.3844,16312
209542,"Oregon State University","public","Corvallis","OR","Far West",0.7894,25,24,22349,22974,0.6147,0.8415,0.5162,23166
203757,"Lourdes University","private","Sylvania","OH","Great Lakes",0.6932,NA,NA,1747,27429,0.3592,0.622,0.823,32650
143084,"Augustana College","private","Rock Island","IL","Great Lakes",0.5867,NA,NA,2504,45364,0.784,0.8506,0.588,27000
239017,"Lawrence University","private","Appleton","WI","Great Lakes",0.7269,NA,NA,1517,50570,0.8174,0.879,0.5738,27050
152600,"Valparaiso University","private","Valparaiso","IN","Great Lakes",0.7969,26,26,3209,43185,0.7013,0.8636,0.601,27000
206491,"Wilberforce University","private","Wilberforce","OH","Great Lakes",0.5834,NA,NA,463,24400,0.1289,0.7414,0.9486,29750
170532,"Kalamazoo College","private","Kalamazoo","MI","Great Lakes",0.6689,28,28,1427,48547,0.7741,0.9192,0.5149,27000
239080,"Marian University","private","Fond Du Lac","WI","Great Lakes",0.7561,20,19,1676,33656,0.4887,0.682,0.6489,27000
145691,"Illinois College","private","Jacksonville","IL","Great Lakes",0.6129,22,22,981,36829,0.6357,0.8134,0.768,27000
152080,"University of Notre Dame","private","Notre Dame","IN","Great Lakes",0.223,NA,NA,8466,57805,0.9486,0.9861,0.4142,21000
238458,"Carroll University","private","Waukesha","WI","Great Lakes",0.8114,24,24,3024,37963,0.5629,0.7598,0.7108,27000
151801,"Indiana Wesleyan University","private","Marion","IN","Great Lakes",0.9515,24,25,10625,33770,0.655,0.7776,0.6958,24806.5
238573,"Columbia College of Nursing","private","Glendale","WI","Great Lakes",NA,NA,NA,157,NA,NA,NA,0.9938,18454.5
148584,"University of St Francis","private","Joliet","IL","Great Lakes",0.5141,23,23,1757,36226,0.5657,0.7909,0.7678,25000
146612,"Lewis University","private","Romeoville","IL","Great Lakes",0.5587,24,24,4489,34079,0.6246,0.8172,0.6674,25000
202763,"The University of Findlay","private","Findlay","OH","Great Lakes",0.6832,24,23,2663,38941,0.564,0.7619,0.4915,23250
146533,"Lakeview College of Nursing","private","Danville","IL","Great Lakes",NA,NA,NA,284,NA,NA,NA,0.6372,18750
203845,"Marietta College","private","Marietta","OH","Great Lakes",0.6387,24,22,1390,42205,0.5529,0.715,0.7122,27000
239071,"Maranatha Baptist University","private","Watertown","WI","Great Lakes",0.7146,24,21,780,23879,0.4843,0.7204,0.6932,18004
202480,"University of Dayton","private","Dayton","OH","Great Lakes",0.5297,26,27,7812,46250,0.7674,0.8858,0.6791,26863
238980,"Lakeland College","private","Plymouth","WI","Great Lakes",0.6621,21,20,2449,32706,0.5083,0.6954,0.6363,27000
151342,"Indiana University-South Bend","public","South Bend","IN","Great Lakes",0.7003,21,19,5538,17377,0.258,0.6346,0.4083,25724
240426,"University of Wisconsin-Superior","public","Superior","WI","Great Lakes",0.8927,21,21,2415,16953,0.4111,0.6565,0.6531,23500
201885,"University of Cincinnati-Main Campus","public","Cincinnati","OH","Great Lakes",0.7325,26,25,23360,25799,0.579,0.8462,0.5545,23947.5
144005,"Chicago State University","public","Chicago","IL","Great Lakes",0.2865,18,18,4321,18472,0.207,0.5361,0.8495,27499
148654,"University of Illinois at Springfield","public","Springfield","IL","Great Lakes",0.5977,23,24,2959,21385,0.4308,0.7435,0.5521,19498
152248,"Purdue University-Calumet Campus","public","Hammond","IN","Great Lakes",0.6063,22,22,7466,16727,0.3131,0.6876,0.4291,22781
169248,"Central Michigan University","public","Mount Pleasant","MI","Great Lakes",0.6304,22,22,20070,21523,0.5929,0.7671,0.7469,27000
130989,"Goldey-Beacom College","private","Wilmington","DE","Mid East",0.5231,NA,NA,548,32255,0.4255,0.5506,0.568,24375
210739,"DeSales University","private","Center Valley","PA","Mid East",0.758,22,23,2482,45331,0.7033,0.8509,0.6649,27000
195128,"The Sage Colleges","private","Troy","NY","Mid East",0.5664,NA,NA,1661,40437,0.5802,0.7837,0.7898,22408.5
163532,"Ner Israel Rabbinical College","private","Baltimore","MD","Mid East",0.8154,NA,NA,340,20300,0.3061,0.7941,0,NA
245731,"Yeshiva and Kollel Harbotzas Torah","private","Brooklyn","NY","Mid East",NA,NA,NA,25,NA,NA,NA,0,NA
216366,"Thomas Jefferson University","private","Philadelphia","PA","Mid East",NA,NA,NA,664,NA,NA,NA,0.6208,12500
210775,"Alvernia University","private","Reading","PA","Mid East",0.7762,NA,NA,2169,39999,0.5132,0.7105,0.6131,27000
183974,"Centenary College","private","Hackettstown","NJ","Mid East",0.9094,NA,NA,1708,44586,0.5673,0.7091,0.5817,25000
163295,"Maryland Institute College of Art","private","Baltimore","MD","Mid East",0.5803,NA,NA,1892,52649,0.7273,0.8257,0.6126,27000
183910,"Caldwell College","private","Caldwell","NJ","Mid East",0.6408,NA,NA,1570,38223,0.5345,0.7301,0.836,26499
196431,"Talmudical Seminary Oholei Torah","private","Brooklyn","NY","Mid East",1,NA,NA,321,17708,0.0667,0.7042,0,NA
184603,"Fairleigh Dickinson University-Metropolitan Campus","private","Teaneck","NJ","Mid East",0.7341,NA,NA,3915,43227,0.465,0.7208,0.3668,25000
213367,"La Salle University","private","Philadelphia","PA","Mid East",0.8021,NA,NA,4228,47134,0.6443,0.825,0.6918,27000
213251,"Juniata College","private","Huntingdon","PA","Mid East",0.7409,NA,NA,1503,47269,0.7507,0.8781,0.6893,27000
213543,"Lehigh University","private","Bethlehem","PA","Mid East",0.3084,NA,NA,4904,55441,0.8584,0.9392,0.4495,24750
215442,"Point Park University","private","Pittsburgh","PA","Mid East",0.7393,21,23,3164,36726,0.4978,0.7558,0.7719,27000
131113,"Wilmington University","private","New Castle","DE","Mid East",NA,NA,NA,8475,16978,0.3897,0.6393,0.4817,18192
190114,"Metropolitan College of New York","private","New York","NY","Mid East",0.5487,NA,NA,911,28391,0.2444,0.5224,0.8165,34375
131308,"Corcoran College of Art and Design","private","Washington","DC","Mid East",0.2712,NA,NA,275,47459,0.5273,0.9024,0.5337,27000
211440,"Carnegie Mellon University","private","Pittsburgh","PA","Mid East",0.2549,32,32,5834,59710,0.8799,0.9422,0.3964,25000
189273,"Beth Hamedrash Shaarei Yosher Institute","private","Brooklyn","NY","Mid East",1,NA,NA,49,12900,0.0833,0.3125,0,NA
197133,"Vassar College","private","Poughkeepsie","NY","Mid East",0.2411,NA,NA,2436,59320,0.9365,0.9559,0.3716,17545
192749,"Manhattanville College","private","Purchase","NY","Mid East",0.7674,NA,NA,1671,49907,0.5832,0.7524,0.6377,26000
193399,"College of Mount Saint Vincent","private","Bronx","NY","Mid East",0.731,19,19,1635,37738,0.5152,0.6687,0.9077,28500
190150,"Columbia University in the City of New York","private","New York","NY","Mid East",0.0742,32,34,7970,61540,0.9329,0.9734,0.2659,19435
186399,"Rutgers University-Newark","public","Newark","NJ","Mid East",0.5401,NA,NA,6748,22046,0.6752,0.7422,0.5501,22250
185262,"Kean University","public","Union","NJ","Mid East",0.8037,NA,NA,11975,19462,0.4623,0.7364,0.6133,24000
214777,"Pennsylvania State University-Main Campus","public","University Park","PA","Mid East",0.542,28,27,39460,31625,0.8484,0.9236,0.522,27000
196167,"SUNY College at Geneseo","public","Geneseo","NY","Mid East",0.4566,NA,NA,5463,21004,0.7794,0.9025,0.4918,20500
187134,"The College of New Jersey","public","Ewing","NJ","Mid East",0.4311,NA,NA,6446,28943,0.8443,0.9347,0.5193,23196
185828,"New Jersey Institute of Technology","public","Newark","NJ","Mid East",0.6547,26,24,6449,26700,0.5767,0.8603,0.4698,21182.5
215266,"University of Pittsburgh-Bradford","public","Bradford","PA","Mid East",0.8532,21,21,1456,23732,0.5189,0.7,0.7833,26896.5
190567,"CUNY City College","public","New York","NY","Mid East",0.341,NA,NA,11820,14041,0.4201,0.8747,0.1914,12500
162007,"Bowie State University","public","Bowie","MD","Mid East",0.5176,18,18,4313,18581,0.3524,0.7023,0.6808,23320
190691,"CUNY York College","public","Jamaica","NY","Mid East",0.351,NA,NA,7361,13967,0.2635,0.7415,0.1087,10000
128744,"University of Bridgeport","private","Bridgeport","CT","New England",0.6385,20,19,2835,45640,0.281,0.6361,0.7347,28250
165529,"Curry College","private","Milton","MA","New England",0.6692,19,18,2794,47519,0.4502,0.7021,0.6274,26000
230995,"Norwich University","private","Northfield","VT","New England",0.6349,NA,NA,2432,47341,0.5672,0.7496,0.6959,27000
167260,"Nichols College","private","Dudley","MA","New England",0.8047,21,20,1260,44886,0.4656,0.6939,0.876,27000
160959,"College of the Atlantic","private","Bar Harbor","ME","New England",0.7367,NA,NA,356,48639,0.6905,0.8056,0.5421,19000
166984,"School of the Museum of Fine Arts-Boston","private","Boston","MA","New England",0.7681,NA,NA,340,52303,0.6,0.7195,0.5808,25125
182980,"New England College","private","Henniker","NH","New England",0.8997,NA,NA,1465,46261,0.3979,0.616,0.7249,27000
167677,"Saint John's Seminary","private","Brighton","MA","New England",1,NA,NA,35,NA,NA,NA,0,NA
161572,"Unity College","private","Unity","ME","New England",0.8882,NA,NA,553,34137,0.5141,0.7667,0.8585,27000
164465,"Amherst College","private","Amherst","MA","New England",0.1428,32,33,1785,59060,0.9578,0.9762,0.1321,11185.5
130314,"University of Saint Joseph","private","West Hartford","CT","New England",0.857,NA,NA,971,42885,0.5212,0.7707,0.7711,27000
231059,"Saint Michael's College","private","Colchester","VT","New England",0.7511,25,26,1941,48894,0.7481,0.8787,0.7463,27000
436818,"University of Connecticut-Tri-Campus","public","Waterbury","CT","New England",0.4207,NA,NA,2382,13099,0.5029,0.8434,0.4705,21500
230834,"Castleton State College","public","Castleton","VT","New England",0.9205,20,19,2022,20799,0.5149,0.7447,0.7801,25596
217484,"University of Rhode Island","public","Kingston","RI","New England",0.7871,NA,NA,13008,26262,0.6344,0.8128,0.7029,23250
